item,itemLabel
http://www.wikidata.org/entity/Q23361,Magdeburger Halbkugeln
http://www.wikidata.org/entity/Q94741,Lunar Laser Ranging
http://www.wikidata.org/entity/Q120845,Landolt-Reaktion
http://www.wikidata.org/entity/Q127050,Manhattan-Projekt
http://www.wikidata.org/entity/Q151141,Griffiths Experiment
http://www.wikidata.org/entity/Q152561,Hershey-Chase-Experiment
http://www.wikidata.org/entity/Q208138,Faradayscher Käfig
http://www.wikidata.org/entity/Q208625,Miller-Urey-Experiment
http://www.wikidata.org/entity/Q217785,Doppelspaltexperiment
http://www.wikidata.org/entity/Q316053,KATRIN
http://www.wikidata.org/entity/Q352965,Blue-Bottle-Experiment
http://www.wikidata.org/entity/Q361466,CAST-Experiment
http://www.wikidata.org/entity/Q664424,CLOUD-Experiment
http://www.wikidata.org/entity/Q665728,LHCb
http://www.wikidata.org/entity/Q672024,TOTEM
http://www.wikidata.org/entity/Q674528,UA1-Detektor
http://www.wikidata.org/entity/Q686840,OPERA
http://www.wikidata.org/entity/Q691175,NA48
http://www.wikidata.org/entity/Q691208,COMPASS-Experiment
http://www.wikidata.org/entity/Q691549,LHCf
http://www.wikidata.org/entity/Q691818,NA62
http://www.wikidata.org/entity/Q694076,OPAL
http://www.wikidata.org/entity/Q763875,NA61/SHINE
http://www.wikidata.org/entity/Q767042,XENON Dark Matter Project
http://www.wikidata.org/entity/Q782907,Avery–MacLeod–McCarty experiment
http://www.wikidata.org/entity/Q797428,BaBar-Experiment
http://www.wikidata.org/entity/Q825431,Wasserbrücke
http://www.wikidata.org/entity/Q837727,Mars-500
http://www.wikidata.org/entity/Q838551,Neutrino Ettore Majorana Observatory
http://www.wikidata.org/entity/Q866818,Luria-Delbrück-Experiment
http://www.wikidata.org/entity/Q902323,Quantenradierer
http://www.wikidata.org/entity/Q917550,Meselson-Stahl-Versuch
http://www.wikidata.org/entity/Q1024621,CYCLADES
http://www.wikidata.org/entity/Q1032485,Hafele-Keating-Experiment
http://www.wikidata.org/entity/Q1077800,Bernoulli trial
http://www.wikidata.org/entity/Q1147712,Rubenssches Flammenrohr
http://www.wikidata.org/entity/Q1151468,D0
http://www.wikidata.org/entity/Q1157111,UA2-Experiment
http://www.wikidata.org/entity/Q1225253,MiniBooNE
http://www.wikidata.org/entity/Q1233032,EisenEx
http://www.wikidata.org/entity/Q1281398,Kaffeeexperiment Gustavs III.
http://www.wikidata.org/entity/Q1303351,Wu-Experiment
http://www.wikidata.org/entity/Q1339266,NA35
http://www.wikidata.org/entity/Q1385044,Goldhaber-Experiment
http://www.wikidata.org/entity/Q1411818,ICARUS
http://www.wikidata.org/entity/Q1416378,Keynes' Schönheitswettbewerb
http://www.wikidata.org/entity/Q1442270,NA7
http://www.wikidata.org/entity/Q1531596,Global Consciousness Project
http://www.wikidata.org/entity/Q1562620,Nagelbrett
http://www.wikidata.org/entity/Q1590641,Rüchardt-Experiment
http://www.wikidata.org/entity/Q1616753,Hexenexperiment
http://www.wikidata.org/entity/Q1638921,Winnetka-Plan
http://www.wikidata.org/entity/Q1649160,RENO-Experiment
http://www.wikidata.org/entity/Q1661177,NA1
http://www.wikidata.org/entity/Q1674233,NA3
http://www.wikidata.org/entity/Q1718412,KASCADE-Grande
http://www.wikidata.org/entity/Q1753097,Buffonsches Nadelproblem
http://www.wikidata.org/entity/Q1798260,LOPES
http://www.wikidata.org/entity/Q1909009,Matroschka
http://www.wikidata.org/entity/Q1959664,NA10
http://www.wikidata.org/entity/Q1959668,NA11
http://www.wikidata.org/entity/Q1959671,NA33
http://www.wikidata.org/entity/Q1959674,NA4
http://www.wikidata.org/entity/Q1959675,NA5
http://www.wikidata.org/entity/Q1959676,NA6
http://www.wikidata.org/entity/Q1959678,NA9
http://www.wikidata.org/entity/Q1959680,NA8
http://www.wikidata.org/entity/Q1991051,Zener cards
http://www.wikidata.org/entity/Q2250983,Schule als Staat
http://www.wikidata.org/entity/Q2291776,Torricelli's experiment
http://www.wikidata.org/entity/Q2355990,Streuexperiment
http://www.wikidata.org/entity/Q2363109,Das kochende Froschsyndrom
http://www.wikidata.org/entity/Q2484302,Q2484302
http://www.wikidata.org/entity/Q2558993,Q2558993
http://www.wikidata.org/entity/Q2682133,NOνA
http://www.wikidata.org/entity/Q2790185,Hawthorne experiment
http://www.wikidata.org/entity/Q2851416,'s Gravesande's ring
http://www.wikidata.org/entity/Q3006057,Pascal's barrel
http://www.wikidata.org/entity/Q3062477,delayed-choice quantum eraser
http://www.wikidata.org/entity/Q3093366,GRANIT
http://www.wikidata.org/entity/Q3124829,HERMES experiment
http://www.wikidata.org/entity/Q3272662,MACHe3
http://www.wikidata.org/entity/Q3334181,NA60 experiment
http://www.wikidata.org/entity/Q3379200,SAGE
http://www.wikidata.org/entity/Q3389284,Q3389284
